iter	RMSE
0	0.9789353328
1	0.9414881395
2	0.9065584321
3	0.8724133661
4	0.8413561512
5	0.8119010036
6	0.7839872228
7	0.7572992033
8	0.7320183976
9	0.7088373182
10	0.6872166524
11	0.6663257403
12	0.6467603306
13	0.6279118212
14	0.6103057457
15	0.5943665695
16	0.5794082859
17	0.5645296423
18	0.5510024045
19	0.5383759912
20	0.526461198
21	0.515330694
22	0.5043497682
23	0.4945827969
24	0.4853603204
25	0.4767827109
26	0.4687261826
27	0.4610350403
28	0.4538505334
29	0.4471054227
30	0.4405607863
31	0.4343150127
32	0.4289140635
33	0.4237689234
34	0.4192317976
35	0.4151097291
36	0.4108090361
37	0.4064323571
38	0.4031029841
39	0.3996587587
40	0.3963005407
41	0.3932712399
42	0.3901890899
43	0.3874579071
44	0.3846969961
45	0.3824202624
46	0.3798955751
47	0.3776680405
48	0.3755544055
49	0.3736699699
50	0.3718367682
51	0.3702572427
52	0.368771655
53	0.36726664
54	0.3659632278
55	0.3643888256
56	0.3630513151
57	0.3619148645
58	0.3608421433
59	0.3596968803
60	0.3586284197
61	0.3573782444
62	0.3561583304
63	0.3551949882
64	0.3541446473
65	0.3533388605
66	0.3525739759
67	0.3515996305
68	0.3508623424
69	0.3501254797
70	0.3495066813
71	0.3488397448
72	0.3479218586
73	0.3470490416
74	0.3463822623
75	0.3455405537
76	0.3450135954
77	0.3444722999
78	0.3439285908
79	0.3433284784
80	0.3428760231
81	0.3422601444
82	0.3418046904
83	0.3413375119
84	0.3403802911
85	0.3399415045
86	0.3392357205
87	0.3386768222
88	0.3382771776
89	0.3375952838
90	0.3370344693
91	0.3366677588
92	0.3362888894
93	0.3357422727
94	0.3351763724
95	0.3347785358
96	0.3343313037
97	0.3340450967
98	0.3336443176
99	0.3333861543
100	0.3329125889
101	0.3326067415
102	0.3320199524
103	0.3316167655
104	0.3312075456
105	0.3307156025
106	0.3302844673
107	0.3298508602
108	0.3294509977
109	0.3291724888
110	0.328781071
111	0.3281405929
112	0.3278615867
113	0.3275458427
114	0.3270408287
115	0.3266273436
116	0.3262240803
117	0.3258542951
118	0.3254760684
119	0.3253182009
120	0.3248549335
121	0.3243658764
122	0.3240588651
123	0.3237348333
124	0.3233268683
125	0.3231104923
126	0.3227351746
127	0.3223547573
128	0.3218679381
129	0.3216500828
130	0.3213620632
131	0.3209626853
132	0.3205822397
133	0.3202191718
134	0.3200245393
135	0.3198756149
136	0.3196200144
137	0.3191622985
138	0.3189571584
139	0.3186898727
140	0.3182153759
141	0.3178737222
142	0.3177218054
143	0.3175299226
144	0.3171913682
145	0.3169971178
146	0.3168187974
147	0.3164902912
148	0.3162085264
149	0.3160569084
150	0.3159220701
151	0.315623965
152	0.3154101505
153	0.3151838198
154	0.3150720278
155	0.314903533
156	0.3146625033
157	0.3143733056
158	0.3140579353
159	0.3137455538
160	0.3136454092
161	0.3133535361
162	0.3130475769
163	0.3128642357
164	0.3125043671
165	0.312215221
166	0.3118574264
167	0.3115577796
168	0.3112462863
169	0.3111130346
170	0.3108120704
171	0.3106027999
172	0.3102411073
173	0.3099533461
174	0.309833034
175	0.3095760356
176	0.3092658758
177	0.3090099817
178	0.3087866654
179	0.3086417022
180	0.3084856129
181	0.3082879255
182	0.3081202522
183	0.3078589797
184	0.3076338695
185	0.30743543
186	0.3072294145
187	0.3069677125
188	0.3067267625
189	0.3065351849
190	0.3064259275
191	0.306246279
192	0.3060251927
193	0.3059130765
194	0.3057679964
195	0.3054350229
196	0.3052394513
197	0.3049595792
198	0.3047727205
199	0.3046106862
200	0.3043660986
201	0.3040757454
202	0.3038438571
203	0.3036578359
204	0.3034228091
205	0.3031832591
206	0.3029840905
207	0.3028755751
208	0.3027147289
209	0.30249712
210	0.3022984746
211	0.3021653022
212	0.301940804
213	0.3017385942
214	0.3015927762
215	0.3014714454
216	0.3012363668
217	0.301086328
218	0.3008725808
219	0.3006168565
220	0.3004555487
221	0.3002795636
222	0.3000729738
223	0.2999156538
224	0.2996817798
225	0.2995241777
226	0.299380165
227	0.2992421042
228	0.2991115966
229	0.2988637057
230	0.2986481646
231	0.2985400543
232	0.2983175767
233	0.2981853237
234	0.2980240322
235	0.2978457968
236	0.2976261178
237	0.297551882
238	0.2973852077
239	0.2971557621
240	0.2969230593
241	0.2967631897
242	0.2966026017
243	0.2964263091
244	0.2962390749
245	0.2961149961
246	0.2960042056
247	0.2958926392
248	0.2958104745
249	0.295550147
250	0.2953889811
251	0.2952743037
252	0.2951186239
253	0.2949611563
254	0.2948306207
255	0.2946705842
256	0.2944544364
257	0.2942653614
258	0.2941411681
259	0.2940141767
260	0.2937802393
261	0.2936779923
262	0.2935547177
263	0.2934206614
264	0.2932923571
265	0.2932061067
266	0.2930615147
267	0.2929403835
268	0.2927079319
269	0.2925924766
270	0.2923645003
271	0.2922356271
272	0.2920241053
273	0.2919394821
274	0.2918325866
275	0.2916949755
276	0.2916262385
277	0.2915152702
278	0.2914372086
279	0.2913311488
280	0.2912101011
281	0.2910770013
282	0.2908722754
283	0.2906406074
284	0.2905258055
285	0.2903330855
286	0.2902328861
287	0.2900603256
288	0.2898650704
289	0.2897573762
290	0.2896290343
291	0.2895176827
292	0.2894391825
293	0.2893307186
294	0.2891571474
295	0.2889914191
296	0.2888965579
297	0.2887878197
298	0.2887111487
299	0.2886108015
300	0.2885147187
301	0.2883919994
302	0.2882627767
303	0.2880810008
304	0.2879281575
305	0.2878091987
306	0.2876689325
307	0.287555268
308	0.2874741164
309	0.2873606969
