iter	Passed	Remaining
0	153	153620
1	161	80668
2	169	56488
3	177	44316
4	186	37080
5	196	32534
6	205	29198
7	213	26478
8	222	24500
9	230	22812
10	239	21507
11	247	20354
12	255	19406
13	264	18620
14	273	17936
15	281	17309
16	289	16750
17	297	16238
18	305	15774
19	313	15343
20	321	14966
21	330	14672
22	338	14364
23	345	14050
24	353	13789
25	360	13519
26	368	13281
27	375	13049
28	382	12822
29	390	12617
30	397	12409
31	404	12236
32	411	12069
33	419	11910
34	426	11764
35	434	11622
36	441	11482
37	447	11338
38	455	11216
39	462	11091
40	469	10981
41	476	10867
42	483	10767
43	490	10660
44	497	10560
45	504	10465
46	511	10375
47	519	10295
48	526	10213
49	533	10140
50	541	10073
51	548	10007
52	556	9944
53	564	9884
54	571	9815
55	578	9749
56	585	9682
57	592	9620
58	600	9569
59	607	9511
60	614	9455
61	621	9397
62	628	9344
63	635	9297
64	642	9246
65	649	9198
66	657	9154
67	664	9111
68	671	9065
69	679	9024
70	686	8981
71	695	8966
72	703	8928
73	710	8895
74	718	8861
75	725	8824
76	733	8787
77	740	8748
78	747	8718
79	755	8682
80	762	8652
81	769	8619
82	776	8583
83	784	8553
84	791	8523
85	798	8491
86	806	8463
87	813	8430
88	820	8399
89	827	8368
90	834	8339
91	842	8313
92	849	8282
93	856	8256
94	863	8226
95	871	8205
96	880	8200
97	888	8177
98	895	8150
99	903	8127
100	910	8103
101	917	8078
102	924	8054
103	932	8037
104	941	8028
105	951	8020
106	960	8014
107	970	8013
108	979	8007
109	989	8005
110	997	7987
111	1004	7962
112	1011	7939
113	1019	7921
114	1026	7902
115	1034	7884
116	1042	7865
117	1049	7846
118	1057	7826
119	1063	7802
120	1070	7779
121	1079	7769
122	1087	7756
123	1095	7740
124	1105	7737
125	1112	7717
126	1121	7708
127	1128	7687
128	1135	7666
129	1142	7645
130	1149	7628
131	1156	7606
132	1163	7585
133	1171	7567
134	1178	7549
135	1185	7533
136	1193	7515
137	1200	7498
138	1207	7480
139	1214	7463
140	1221	7443
141	1228	7423
142	1236	7407
143	1242	7386
144	1249	7370
145	1256	7351
146	1264	7336
147	1271	7320
148	1278	7301
149	1285	7284
150	1292	7266
151	1299	7250
152	1306	7234
153	1314	7219
154	1321	7202
155	1328	7185
156	1335	7170
157	1342	7151
158	1348	7133
159	1355	7118
160	1363	7104
